year,tournaments,sec,date,kickoff,home,score,away,venue,att,broadcast,homeTeamUrl,matchUrl,awayTeamUrl
2024,ＦＵＪＩＦＩＬＭ　ＳＵＰＥＲ　ＣＵＰ,,02/17(土),13:35,神戸,0-1,川崎Ｆ,国立,"52,142",日本テレビ系全国ネットにて生中継／ＴＶｅｒでライブ配信,http://www.jleague.jp/club/kobe/profile/,/SFMS02/?match_card_id=30211,http://www.jleague.jp/club/kawasakif/profile/
2024,Ｊ１,第１節第１日,02/23(金・祝),14:06,広島,2-0,浦和,Ｅピース,"27,545",ＤＡＺＮ／ＮＨＫ総合,http://www.jleague.jp/club/hiroshima/profile/,/SFMS02/?match_card_id=30430,http://www.jleague.jp/club/urawa/profile/
2024,Ｊ１,第１節第１日,02/23(金・祝),18:03,名古屋,0-3,鹿島,豊田ス,"36,933",ＤＡＺＮ,http://www.jleague.jp/club/nagoya/profile/,/SFMS02/?match_card_id=30431,http://www.jleague.jp/club/kashima/profile/
2024,Ｊ１,第１節第２日,02/24(土),13:03,磐田,0-2,神戸,ヤマハ,"14,778",ＤＡＺＮ／静岡放送,http://www.jleague.jp/club/iwata/profile/,/SFMS02/?match_card_id=30432,http://www.jleague.jp/club/kobe/profile/
2024,Ｊ１,第１節第２日,02/24(土),14:04,福岡,0-0,札幌,ベススタ,"9,445",ＤＡＺＮ／ＮＨＫ福岡／ＮＨＫ札幌,http://www.jleague.jp/club/fukuoka/profile/,/SFMS02/?match_card_id=30433,http://www.jleague.jp/club/sapporo/profile/
2024,Ｊ１,第１節第２日,02/24(土),14:05,鳥栖,1-2,新潟,駅スタ,"9,610",ＤＡＺＮ／ＮＨＫ新潟／サガテレビ,http://www.jleague.jp/club/tosu/profile/,/SFMS02/?match_card_id=30434,http://www.jleague.jp/club/niigata/profile/
2024,Ｊ１,第１節第２日,02/24(土),15:03,町田,1-1,Ｇ大阪,Ｇスタ,"13,506",ＤＡＺＮ,http://www.jleague.jp/club/machida/profile/,/SFMS02/?match_card_id=30435,http://www.jleague.jp/club/gosaka/profile/
2024,Ｊ１,第１節第２日,02/24(土),15:03,Ｃ大阪,2-2,FC東京,ヨドコウ,"20,705",ＤＡＺＮ,http://www.jleague.jp/club/cosaka/profile/,/SFMS02/?match_card_id=30437,http://www.jleague.jp/club/ftokyo/profile/
2024,Ｊ１,第１節第２日,02/24(土),15:04,湘南,1-2,川崎Ｆ,レモンＳ,"12,987",ＤＡＺＮ,http://www.jleague.jp/club/shonan/profile/,/SFMS02/?match_card_id=30436,http://www.jleague.jp/club/kawasakif/profile/
2024,Ｊ２,第１節第１日,02/24(土),14:03,藤枝,0-0,長崎,藤枝サ,"7,243",ＤＡＺＮ,http://www.jleague.jp/club/fujieda/profile/,/SFMS02/?match_card_id=30051,http://www.jleague.jp/club/nagasaki/profile/
2024,Ｊ２,第１節第１日,02/24(土),14:03,水戸,1-0,いわき,Ｋｓスタ,"5,577",ＤＡＺＮ,http://www.jleague.jp/club/mito/profile/,/SFMS02/?match_card_id=30049,https://www.jleague.jp/club/iwaki/profile/
2024,Ｊ２,第１節第１日,02/24(土),14:03,横浜FC,1-1,山口,ニッパツ,"7,176",ＤＡＺＮ／ＮＨＫ山口,http://www.jleague.jp/club/yokohamafc/profile/,/SFMS02/?match_card_id=30050,http://www.jleague.jp/club/yamaguchi/profile/
2024,Ｊ３,第１節第１日,02/24(土),14:03,奈良,1-2,琉球,ロートＦ,"2,007",ＤＡＺＮ／ＮＨＫ奈良,https://www.jleague.jp/club/nara/day/#profile,/SFMS02/?match_card_id=29670,http://www.jleague.jp/club/ryukyu/profile/
2024,Ｊ３,第１節第１日,02/24(土),14:03,大宮,4-1,八戸,ＮＡＣＫ,"7,183",ＤＡＺＮ／Ｌｅｍｉｎｏ／テレ玉,http://www.jleague.jp/club/omiya/profile/,/SFMS02/?match_card_id=29669,https://www.jleague.jp/club/hachinohe/day/#profile
2024,Ｊ３,第１節第１日,02/24(土),14:04,北九州,0-1,相模原,ミクスタ,"4,253",ＤＡＺＮ,http://www.jleague.jp/club/kitakyushu/profile/,/SFMS02/?match_card_id=29671,http://www.jleague.jp/club/sagamihara/profile/
2024,Ｊ３,第１節第１日,02/24(土),15:03,岐阜,4-1,福島,長良川,"7,814",ＤＡＺＮ／Ｌｅｍｉｎｏ／ＣＣＮ,http://www.jleague.jp/club/gifu/profile/,/SFMS02/?match_card_id=29672,http://www.jleague.jp/club/fukushima/profile/
2024,Ｊ１,第１節第３日,02/25(日),14:03,柏,1-1,京都,三協Ｆ柏,"10,478",ＤＡＺＮ,http://www.jleague.jp/club/kashiwa/profile/,/SFMS02/?match_card_id=30438,http://www.jleague.jp/club/kyoto/profile/
2024,Ｊ１,第１節第３日,02/25(日),14:04,東京Ｖ,1-2,横浜FM,国立,"53,026",ＤＡＺＮ／ＢＳ松竹東急,http://www.jleague.jp/club/tokyov/profile/,/SFMS02/?match_card_id=30439,http://www.jleague.jp/club/yokohamafm/profile/
2024,Ｊ２,第１節第２日,02/25(日),12:53,愛媛,1-0,秋田,ニンスタ,"5,193",ＤＡＺＮ／テレビ愛媛,http://www.jleague.jp/club/ehime/profile/,/SFMS02/?match_card_id=30052,http://www.jleague.jp/club/akita/profile/
2024,Ｊ２,第１節第２日,02/25(日),13:03,熊本,1-2,清水,えがおＳ,"8,059",ＤＡＺＮ／静岡第一テレビ,http://www.jleague.jp/club/kumamoto/profile/,/SFMS02/?match_card_id=30054,http://www.jleague.jp/club/shimizu/profile/
2024,Ｊ２,第１節第２日,02/25(日),13:04,岡山,3-0,栃木,Ｃスタ,"11,431",ＤＡＺＮ／ＮＨＫ岡山,http://www.jleague.jp/club/okayama/profile/,/SFMS02/?match_card_id=30053,http://www.jleague.jp/club/tochigi/profile/
2024,Ｊ２,第１節第２日,02/25(日),13:05,千葉,2-3,山形,フクアリ,"11,544",ＤＡＺＮ／ＮＨＫ山形,http://www.jleague.jp/club/chiba/profile/,/SFMS02/?match_card_id=30056,http://www.jleague.jp/club/yamagata/profile/
2024,Ｊ２,第１節第２日,02/25(日),14:03,群馬,1-1,鹿児島,正田スタ,"4,056",ＤＡＺＮ／群馬テレビ,http://www.jleague.jp/club/kusatsu/profile/,/SFMS02/?match_card_id=30055,http://www.jleague.jp/club/kagoshima/day/#profile
2024,Ｊ２,第１節第２日,02/25(日),14:03,徳島,1-5,甲府,鳴門大塚,"8,009",ＤＡＺＮ／ＮＨＫ徳島／ＮＨＫ甲府,http://www.jleague.jp/club/tokushima/profile/,/SFMS02/?match_card_id=30057,http://www.jleague.jp/club/kofu/profile/
2024,Ｊ２,第１節第２日,02/25(日),14:05,大分,1-1,仙台,レゾド,"16,075",ＤＡＺＮ／ＮＨＫ大分／ＮＨＫ仙台,http://www.jleague.jp/club/oita/profile/,/SFMS02/?match_card_id=30058,http://www.jleague.jp/club/sendai/profile/
2024,Ｊ３,第１節第２日,02/25(日),13:05,今治,1-0,鳥取,里山Ｓ,"4,005",ＤＡＺＮ／ＮＨＫ鳥取／愛媛朝日テレビ（録）,https://www.jleague.jp/club/imabari/day/,/SFMS02/?match_card_id=29673,http://www.jleague.jp/club/tottori/profile/
2024,Ｊ３,第１節第２日,02/25(日),14:03,宮崎,1-2,松本,いちご,"1,576",ＤＡＺＮ,https://www.jleague.jp/club/miyazaki/day/#profile,/SFMS02/?match_card_id=29677,http://www.jleague.jp/club/matsumoto/profile/
2024,Ｊ３,第１節第２日,02/25(日),14:03,沼津,3-0,金沢,愛鷹,"2,206",ＤＡＺＮ,http://www.jleague.jp/club/numazu/day/#profile,/SFMS02/?match_card_id=29675,http://www.jleague.jp/club/kanazawa/profile/
2024,Ｊ３,第１節第２日,02/25(日),14:03,YS横浜,1-1,富山,ニッパツ,"1,177",ＤＡＺＮ,http://www.jleague.jp/club/ysyokohama/profile/,/SFMS02/?match_card_id=29674,http://www.jleague.jp/club/toyama/profile/
2024,Ｊ３,第１節第２日,02/25(日),14:03,讃岐,1-1,岩手,ピカスタ,"2,220",ＤＡＺＮ／Ｌｅｍｉｎｏ,http://www.jleague.jp/club/sanuki/profile/,/SFMS02/?match_card_id=29676,http://www.jleague.jp/club/morioka/profile/
